id,fire_name,county_id,county_name,location,latitude,longitude,minimum_temp,maximum_temp,average_temp,wind_speed,air_pressure,precipitation
67,Yellow Fire,49,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",38.638828000000004,-122.655616,11.0,30.0,24.0,27.0,1013.0,0.0
68,California Fire,48,Solano,"Off Lake Herman Rd, west of Hwy 680 in Benicia",38.08744,-122.13802,11.0,23.0,19.0,13.0,1017.0,0.0
69,152 Fire,24,Merced,Hwy 152 in San Luis Creek Reservoir,37.03776,-121.00693899999999,15.0,33.0,28.0,15.0,1010.0,0.0
70,Smiley Fire,33,Riverside,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",33.963591,-117.18793400000001,10.0,21.0,17.0,4.0,1013.0,0.0
71,Cantwell Fire,17,Lake,"South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake",38.882214000000005,-122.567525,8.0,21.0,15.0,9.0,1019.0,0.0
72,Union Fire,9,El Dorado,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",38.682378,-120.839075,11.0,33.0,27.0,4.0,1015.0,0.0
73,Cleghorn Fire,36,San Bernardino,I-15 Cajon Pass south of Cleghorn Road,34.287,-117.45100000000001,21.0,34.0,29.0,6.0,1012.0,0.0
74,Clinton Fire,10,Fresno,"Clinton and Highland, East of Fresno",36.772425,-119.62838899999998,14.0,32.0,27.0,5.0,1015.0,0.0
75,Freeman Fire,27,Monterey,"off Hwy 198, 10 miles east of King City",36.1531,-120.8973,19.0,39.0,33.0,8.0,1013.0,0.0
76,Murphy Fire,55,Tuolumne,off Lime Kiln Rd,37.91529,-120.33313000000001,14.0,32.0,28.0,6.0,1008.0,0.0
77,Border Fire,37,San Diego,Off Alta Rd in the Otay Mesa area,32.564465000000006,-116.900368,14.0,20.0,18.0,4.0,1010.0,0.0
78,Davis Creek Complex,25,Modoc,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",41.73325,-120.375,11.0,21.0,18.0,6.0,1014.0,0.0
79,Little Fire,36,San Bernardino,near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,33.641999999999996,-116.706,20.0,31.0,28.0,5.0,1008.0,0.0
80,Coyote Fire,18,Lassen,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",40.88886,-120.95812600000001,6.0,24.0,19.0,6.0,1013.0,0.3
81,Roadrunner Fire,3,Amador,"Roadrunner Drive, south of Ione",38.27783,-120.966016,13.0,32.0,26.0,4.0,1014.0,0.0
82,Creek Fire,40,San Luis Obispo,"off Toro Creek Rd, east of Cayucos",35.4393,-120.8358,15.0,25.0,22.0,9.0,1014.0,0.0
83,Lilly 2 Fire,20,Madera,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,37.1927,-119.7917,5.0,25.0,20.0,7.0,1018.0,0.0
84,Adelaida Fire,40,San Luis Obispo,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",35.62743,-120.83417,12.0,29.0,24.0,7.0,1009.0,0.0
85,Retek Fire,23,Mendocino,"Off Hwy 101 at Henry Station Rd, north of Hopland",39.0442,-123.1478,2.0,20.0,12.0,21.0,1018.0,0.0
86,Centerville Fire,4,Butte,"Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia ",39.731878,-121.71393799999998,16.0,33.0,28.0,9.0,1015.0,0.0
87,Silverwood Fire,36,San Bernardino, Hwy 138 west of Hwy 173,34.316,-117.352,21.0,33.0,29.0,9.0,1012.0,0.0
88,Revis Fire,20,Madera,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,37.169379,-119.75636000000002,9.0,30.0,25.0,8.0,1014.0,0.0
89,Lytle Fire,36,San Bernardino,"I-15 at Sierra Ave, near Lytle Creek",34.1834,-117.4408,23.0,36.0,33.0,4.0,1014.0,0.0
90,Liveoak Fire,36,San Bernardino,"Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. ",34.003151,-117.106075,15.0,29.0,24.0,5.0,1012.0,0.0
91,McGanney Fire,58,Yuba,"off Highway 20 and McGanney Lane, west of Smartsville",39.205999999999996,-121.31634,16.0,33.0,27.0,9.0,1012.0,0.0
92,Double Fire,17,Lake,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",39.013682,-122.49189399999999,15.0,32.0,27.0,10.0,1014.0,0.0
93,Rail Fire,25,Modoc,"Rail Mountain, 7 miles NW of Canby",41.568999999999996,-120.959,11.0,27.0,22.0,9.0,1017.0,0.0
94,Wheeler Fire,56,Ventura,"Wheeler Canyon, north of Santa Paula",34.384,-119.13248999999999,11.0,21.0,15.0,20.0,1015.0,0.0
95,Tram Fire,33,Riverside,Off of Hwy 111 & Tramway Rd in Palm Springs,38.838,-116.61,15.0,28.0,26.0,2.0,1012.0,0.0
96,Relay Fire,33,Riverside,"near Mt. David, south of Beaumont",33.910270000000004,-116.99895,16.0,28.0,24.0,6.0,1013.0,0.0
97,Tyler Fire,29,Nevada,"North San Juan Area, Highway 49 and Tyler Foote Road",39.333401,-121.107022,11.0,31.0,25.0,9.0,1015.0,0.0
98,Toro Fire,40,San Luis Obispo,"Toro Creek Rd. and Hwy 41 West, Morro Bay",35.457978000000004,-120.75155500000001,12.0,25.0,19.0,8.0,1017.0,0.0
99,Bruner Fire,17,Lake,"Off Bruner Drive & Al Drive, Clearlake Oaks",39.0448,-122.7656,2.0,17.0,10.0,19.0,1017.0,0.0
100,Cottonwood Fire,47,Siskiyou,"Cottonwood Creek Rd., 2 miles north of Hornbrook",41.923322999999996,-122.57839299999999,10.0,31.0,26.0,2.0,1016.0,0.0
101,Uvas Fire,43,Santa Clara,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",37.1438,-121.7804,13.0,22.0,19.0,8.0,1013.0,0.0
102,Grant Fire,1,Alameda,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",37.7393,-121.5869,19.0,40.0,34.0,14.0,1009.0,0.0
103,Homestead Fire,40,San Luis Obispo,"Homestead Rd & Hwy 41, northeast of Atascadero ",35.5123,-120.6368,8.0,23.0,19.0,4.0,1015.0,0.0
155,Junction Fire,20,Madera,"off Road 425A, near the Hwy 41 and Hwy 49 junction in Oakhurst",37.3433,-119.6581,8.0,32.0,25.0,1.0,1013.0,0.0
104,Bridges Fire,5,Calaveras,"Parrott''s Ferry Road north of the bridge, near Vallecito & New Melones Lake ",38.06231,-120.45233,18.0,33.0,28.0,5.0,1015.0,0.0
105,Pratt Fire,23,Mendocino,"Hwy 175 & Pratt Ranch Road, East of Hopland ",38.980846,-123.06767099999999,12.0,31.0,24.0,4.0,1014.0,0.0
106,Fiddler Fire,45,Shasta,off Fiddler,40.373000000000005,-122.7338,14.0,34.0,30.0,8.0,1015.0,0.0
107,Viper Fire,33,Riverside,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",33.969359999999995,-117.1265,15.0,34.0,28.0,4.0,1007.0,0.0
108,Chestnut Fire,41,San Mateo,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",37.667295,-122.42728500000001,21.0,28.0,25.0,3.0,1010.0,0.0
109,Baker Fire,30,Orange,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",33.7655,-117.6649,17.0,31.0,25.0,9.0,1020.0,0.0
110,Pierce Fire,33,Riverside,Ave 66 and Pierce Street  ,33.570291,-116.10815,24.0,38.0,35.0,14.0,1010.0,0.0
111,Heacock Fire,33,Riverside,Heacock St & Sandy Glade Ave in Moreno Valley,33.9634,-117.2508,18.0,32.0,27.0,6.0,1011.0,0.0
112,Palmyrita Fire,33,Riverside,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",34.001745,-117.302057,13.0,31.0,26.0,6.0,1012.0,0.0
113,54 Fire,33,Riverside,"Avenue 54 and Tyler Street, near the community of Coachella",33.655638,-116.161201,11.0,31.0,27.0,20.0,1010.0,0.0
114,Empire Fire,9,El Dorado,off Hwy 193 & Empire Creek Cir near Georgetown,38.89555,-120.84716,10.0,27.0,22.0,6.0,1010.0,0.0
115,Indian Fire,17,Lake,"Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks",39.1591,-122.5906,9.0,25.0,20.0,6.0,1016.0,0.0
116,Fallon Fire,1,Alameda,off Fallon Rd & Camino Tassajara near Dublin ,37.74241,-121.86216,12.0,27.0,22.0,11.0,1008.0,0.0
117,Michelle Fire,10,Fresno,"off McKinley Ave & Academy Ave, north of Sanger ",36.763366999999995,-119.55824399999999,16.0,30.0,26.0,5.0,1015.0,0.0
118,Cottontail Fire,40,San Luis Obispo,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,35.49864,-120.91375,15.0,27.0,23.0,10.0,1014.0,0.0
119,Dersch Fire,45,Shasta,"Off Dersch Rd and Hyrax, Millville",40.483662,-122.140914,8.0,20.0,15.0,5.0,1022.0,0.0
120,Chuckwagon Fire,5,Calaveras,"near the 4500 block of Chuckwagon Drive, Copperopolis",37.965364,-120.69636200000001,17.0,35.0,29.0,7.0,1012.0,0.0
121,Lakeshore Fire,17,Lake,near the community of Clearlake,38.9777,-122.68299999999999,11.0,26.0,20.0,11.0,1008.0,0.0
122,Fawnskin Fire,36,San Bernardino,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",34.288877,-116.94131100000001,11.0,24.0,21.0,12.0,1014.0,0.0
123,Sonoma-Lake-Napa Unit Lightning Fires,"49,48,17,6",Sonoma,"throughout Sonoma, Solano, Lake & Colusa Counties",38.4229,-122.0437,13.0,22.0,19.0,12.0,1010.0,0.0
124,Cloverdale Fire,45,Shasta,"Cloverdale Rd. and Dale Rd., Happy Valley, 9 miles SW of Redding",40.473356,-122.48258999999999,13.0,34.0,29.0,3.0,1016.0,0.0
125,Flume Fire,37,San Diego,Barrett Lake Road and Highway 94,32.612773,-116.70733500000001,17.0,27.0,22.0,6.0,1011.0,0.0
126,Mount Fire,17,Lake,"Off Konocti Rd & Oak Hills Ln, east of Kelseyville",38.980579999999996,-122.81796000000001,7.0,25.0,21.0,14.0,1017.0,0.0
127,Cherry Fire,33,Riverside,Off Sunset Ave & Mesa St in Banning,33.96201,-116.90721299999998,16.0,26.0,23.0,4.0,1012.0,0.0
128,Dam Fire,17,Lake,"Off Dam Rd, southeast of Clear Lake",38.9289,-122.5818,4.0,18.0,12.0,21.0,1017.0,0.0
129,Gilman Fire,33,Riverside,"Hwy 60 east of Gilman Springs Rd, east of Moreno Valley",33.94528,-117.09306000000001,21.0,36.0,31.0,8.0,1011.0,0.0
130,Orleans Complex,12,Humboldt,"10 miles east of Somes Bar, California",41.333,-123.376,6.0,27.0,22.0,8.0,1016.0,0.0
131,Hathaway Fire,33,Riverside,"Hathaway Canyon area, northeast of Banning",33.99647,-116.84137,17.0,28.0,24.0,5.0,1010.0,0.0
132,King Fire,9,El Dorado,Near Pollock Pines,38.805437,-120.62971399999999,11.0,25.0,20.0,6.0,1014.0,0.0
133,Bald Fire,45,Shasta,8 miles southeast of Fall River Mills,40.900999999999996,-121.368,14.0,34.0,29.0,2.0,1018.0,0.2
134,Oregon Gulch Fire (part of the Beaver Complex),47,Siskiyou,"Community of Copco, South of Oregon Border",42.048,-122.345,16.0,31.0,26.0,4.0,1019.0,0.6
135,Eiler Fire,45,Shasta,12 miles southeast of Burney near Old Station,40.72,-121.56200000000001,12.0,30.0,25.0,8.0,1016.0,2.6
136,Day Fire,25,Modoc,North of the community of Day,41.1336,-121.2144,14.0,34.0,29.0,2.0,1018.0,0.2
137,Bully Fire,45,Shasta,"Plantina Road at Bland Road, Igo",40.4314,-122.75078799999999,14.0,32.0,28.0,4.0,1013.0,0.0
138,Monticello Fire,57,Yolo,"Hwy 128 at Monticello Dam, southeast shore of Lake Berryessa ",38.512,-122.104,11.0,33.0,27.0,9.0,1012.0,0.0
139,Coffee Fire,45,Shasta,East Fork of the Coffee Creek Drainage,41.141000000000005,-122.805,13.0,34.0,28.0,5.0,1018.0,0.7
140,Little Deer Fire,47,Siskiyou,near Little Deer Mountain along Highway 97,41.681999999999995,-122.12700000000001,15.0,32.0,27.0,3.0,1017.0,0.2
141,Tomahawk Fire,37,San Diego,"Traveled from Naval Weapons Station, Fallbrook and is now on Camp Pendleton ",33.3529,-117.28488899999999,18.0,35.0,29.0,14.0,1019.0,0.0
142,Butts Fire,"28,17",Napa,"Off Butts Canyon Rd in Pope Valley, northwest of Lake Berryessa",38.664,-122.454,13.0,31.0,25.0,9.0,1009.0,0.0
143,Sand Fire,"3,9",Amador,"East of Highway 49, 5 miles north of Plymouth",38.5691,-120.7819,15.0,36.0,30.0,5.0,1012.0,0.0
144,Way Fire,15,Kern,"north side of Hwy 155, northwest of Wofford Heights",35.7206,-118.4747,13.0,32.0,25.0,8.0,1011.0,0.0
145,Etiwanda Fire,36,San Bernardino,North of Rancho Cucamonga,34.169346000000004,-117.547374,15.0,28.0,25.0,19.0,1019.0,0.0
146,Cocos Fire,37,San Diego,"Village Drive and Twin Oaks Road, San Marcos",33.1137,-117.1599,19.0,34.0,29.0,15.0,1019.0,0.0
147,Colby Fire,19,Los Angeles,"near Morris Reservoir, north of Glendora",34.1703,-117.8816,13.0,23.0,19.0,18.0,1021.0,0.0
148,Nicolls Fire ,15,Kern,Kelso Valley/Onyx area,35.641999999999996,-118.15,14.0,30.0,24.0,7.0,1012.0,0.0
149,Modoc Lightning Complex,25,Modoc,15 fires across the Modoc National Forest,41.89,-120.79,12.0,34.0,29.0,9.0,1015.0,0.0
150,Bernardo Fire,37,San Diego,"off Nighthawk Lane, southwest of Rancho Bernardo",33.003,-117.133,19.0,30.0,28.0,7.0,1016.0,0.0
151,Gulch Fire,25,Modoc,"Off highway 139, 15 miles north of Canby - The fire is burning on the east side of Hwy 139",41.489,-120.904,14.0,30.0,26.0,4.0,1013.0,0.3
152,San Mateo Fire,37,San Diego,in the Talega area of Marine Corps Base Camp Pendleton,33.417572,-117.55056699999999,16.0,28.0,25.0,6.0,1015.0,0.0
153,Campbell Fire,52,Tehama,"Ishi Wilderness, north of Campbellville in the Lassen National Forest",40.134597,-121.79018300000001,8.0,20.0,14.0,8.0,1024.0,0.0
154,Miguelito Fire,42,Santa Barbara,Off Santa Miguelito Canyon Road in Lompoc,34.609,-120.454,15.0,26.0,23.0,14.0,1017.0,0.0
156,Poinsettia Fire,37,San Diego,off Poinsettia Ln & Alicante Rd in Carlsbad,33.1109,-117.279,20.0,33.0,28.0,14.0,1019.0,0.0
157,Oregon Fire,53,Trinity,"off Hwy 299 at Oregon Mountain Summit, near Weaverville",40.7412,-122.946,9.0,26.0,21.0,8.0,1012.0,0.0
158,Boles Fire,47,Siskiyou,City of Weed,41.423840000000006,-122.37432,13.0,25.0,22.0,9.0,1013.0,0.0
159,59 Fire,55,Tuolumne,"near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir",37.76617,-120.45087,13.0,31.0,25.0,7.0,1012.0,0.0
160,Encinal Fire,27,Monterey,"Off Encinal Rd, 8 miles southeast of Salinas",36.6313,-121.4819,4.0,24.0,17.0,8.0,1015.0,0.0
161,Highway Fire,37,San Diego,off Old Hwy 395 and I-15 in the Deer Springs area ,33.312,-117.162,17.0,33.0,28.0,16.0,1019.0,0.0
162,Red Fire,12,Humboldt,"South of Berry Summit, west of Willow Creek",40.884415000000004,-123.773779,5.0,15.0,10.0,8.0,1018.0,0.0
163,Courtney Fire,20,Madera,"Courtney Lane and 7 Hills Rd, Oakhurst",37.311915,-119.604124,12.0,34.0,27.0,3.0,1012.0,0.0
164,Dog Rock Fire,22,Mariposa,"Hwy 140 at Indian Creek, El Portal Community",37.0,40.34,21.0,29.0,27.0,10.0,1016.0,0.0
165,Tecolote Fire,19,Los Angeles,"18 miles north of Glendora, off Highway 39 and mile marker 28.",34.266999999999996,-117.867,19.0,30.0,27.0,6.0,1014.0,0.0
166,Hetch Hetchy Fire,55,Tuolumne,"off La Grange Rd (J59) at Hetch Hetchy power lines, northwest shore of Don Pedro Reservoir",37.787,-120.45200000000001,17.0,33.0,29.0,9.0,1011.0,0.0
167,Dog Bar Fire,29,Nevada,Off Dog Bar Rd & Taylor Crossing Rd near Alta Sierra,39.113682,-120.999508,13.0,27.0,22.0,7.0,1014.0,0.0
168,Banner Fire,37,San Diego,"Banner Grade, east of Julian",33.078948,-116.576454,20.0,39.0,32.0,13.0,1010.0,0.0
169,Bald Hill 3 Fire,12,Humboldt,1 mile northwest of Hoopa,41.13399999999999,-123.75299999999999,8.0,27.0,23.0,4.0,1013.0,0.0
170,Shoemaker Fire,19,Los Angeles,"upper end of East Fork San Gabriel River, North of Glendora",34.235,-117.771,19.0,30.0,26.0,6.0,1013.0,0.0
171,Dry Fire,45,Shasta,"off Hwy 299 & Dry Creek Rd, east of Bella Vista",40.6569,-122.2215,19.0,31.0,27.0,6.0,1013.0,0.2
172,Haigh Fire,22,Mariposa,"Highway 49 and Haigh Rd., north of Coulterville",37.7103,-120.197,15.0,35.0,30.0,4.0,1008.0,0.0
173,Gun Fire,37,San Diego,"Off Interstate 8 & Sunrise Hwy, near Pine Valley",32.81,-116.49,11.0,22.0,18.0,13.0,1014.0,0.0
174,Irene Fire,9,El Dorado,Mokelumne Wilderness,38.59,-120.02799999999999,7.0,22.0,18.0,5.0,1012.0,0.0
175,Oak Fire,5,Calaveras,"Oak Valley Road at Pool Station Road, south of San Andreas",38.058,-120.66,11.0,30.0,25.0,4.0,1012.0,0.0
