,Total_Acres_Burned,Archive_Year,County_Name,County_ID,Fire_Started_Date,Fire_Extinguished_Date,Injuries,Latitude,Longitude,Major_Incident,Location,Fire_Name,Percent_Contained,State,CAUSE,Cause_Description,Structure_Impacted,Maximum_Temp,Minimum_Temp,Average_Temp,Wind_Speed,Air_Pressure,Precipitation
27,712,2013,Los Angeles,19,5/17/2013,5/18/2013,0,34.49149,-118.610044,FALSE,I-5 Southbound at Lake Hughes Road,Lake Fire,100,CA,3,Smoking,0,21,13,17,4,1013,0
28,612,2013,Kern,15,7/23/2013,7/25/2013,0,34.90327,-118.93388,FALSE,West side of Interstate 5 at Tejon Ranch,Water Fire,100,CA,14,Unidentified,0,28,20,25,7,1015,0
29,572,2013,El Dorado,9,7/8/2013,7/11/2013,0,38.774,-120.298,FALSE,"Off Hwy 50 at 30 Mile Tract, Kyburz",Kyburz Fire,100,CA,9,Miscellaneous,0,29,8,24,3,1012,0
30,534,2013,San Bernardino,36,6/28/2013,7/1/2013,0,34.071556,-117.048397,TRUE,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",Mills Fire,100,CA,14,Unidentified,1,38,17,31,7,1014,0
31,513,2013,Plumas,32,8/18/2013,8/25/2013,0,40.00842,-120.764666,FALSE,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,Plumas Lightning Complex (Hough),100,CA,14,Unidentified,0,30,14,24,9,1013,0
32,510,2013,Riverside,33,5/4/2013,5/5/2013,0,33.894055,-116.855019,FALSE,"Highway 243, south of Banning and north of Pine Cove",Gorgonio Fire,100,CA,14,Unidentified,0,23,7,17,7,1007,0
33,502,2013,Modoc,25,7/3/2013,7/5/2013,0,41.2415,-121.035,FALSE,5 miles northwest of Aiden,Fox Fire (formally 3-7 Fire),100,CA,14,Unidentified,0,33,18,29,5,1018,0
34,500,2013,San Luis Obispo,40,6/1/2013,6/3/2013,0,35.15832,-120.05131,FALSE,"west of the Carrizo Plain, Los Padres National Forest",Branch Fire,100,CA,14,Unidentified,0,31,19,28,10,1012,0
35,492,2013,Contra Costa,7,7/1/2013,7/1/2013,0,37.96866,-121.91453,FALSE,Kirker Pass Road south of Pittsburg,Kirker Fire,100,CA,14,Unidentified,0,37,16,31,12,1009,0
36,482,2013,Madera,20,6/16/2013,6/18/2013,0,37.015575,-119.78106,TRUE,"off Hwy 41 & Road 145, northwest of Friant ",Rolling Fire,100,CA,10,Vehicle,1,34,14,29,9,1015,0
37,413,2013,San Bernardino,36,8/20/2013,8/20/2013,0,34.302,-117.598,FALSE,upper end of Lytle Creek,Gobblers Fire,100,CA,14,Unidentified,0,31,19,27,5,1012,0
38,406,2013,Inyo,14,2/24/2013,2/28/2013,2,36.602575,-118.01651,TRUE,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",River Fire,100,CA,14,Unidentified,0,4,-6,0,24,1025,0
39,376,2013,Napa,28,10/3/2013,10/4/2013,0,38.628,-122.289,TRUE,off Berryessa Knoxville Rd near Lake Berryessa,Putah Fire,100,CA,14,Unidentified,0,22,10,18,16,1017,0
40,354,2013,San Benito,35,5/3/2013,5/3/2013,0,37.160346,-120.937494,FALSE,"Highway 25 and Horizon Rd, Community of Tres ",Tres Pinos Fire,100,CA,2,Equipment Use,0,34,15,29,10,1019,0
41,303,2013,San Joaquin,39,5/30/2013,5/30/2013,0,38.04993,-120.90325,FALSE,off North Shelton Rd in the Linden Peters area,Shelton Fire,100,CA,2,Equipment Use,0,28,10,23,5,1013,0
42,298,2013,Butte,4,6/3/2013,6/3/2013,0,39.434183,-121.576804,TRUE,Palermo Road and Lone Tree Road near Palermo,Lone Fire,100,CA,2,Equipment Use,9,36,19,30,13,1008,0
43,274,2013,Contra Costa,7,7/1/2013,7/1/2013,0,39.90465,-121.74367,FALSE,off Concord Ave & Vineyard Parkway in Brentwood,Concord Fire,100,CA,14,Unidentified,0,41,22,36,6,1010,0
44,274,2013,Madera,20,4/30/2013,5/1/2013,0,37.116295,-119.635004,FALSE,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,Gold Fire,100,CA,5,Debris,0,25,12,21,8,1008,0
45,268,2013,Los Angeles,19,9/23/2013,9/28/2013,0,34.149,-117.908,FALSE,San Gabriel Canyon 1/4 mile west of the entrance station,Madre Fire,100,CA,14,Unidentified,0,29,15,24,14,1011,0
46,263,2013,San Diego,37,9/9/2013,9/12/2013,2,32.710918,-116.746023,TRUE,"Four Corners, Lyons Valley Road, east of Lyons Peak",Lyon Fire,100,CA,9,Miscellaneous,176,27,21,24,7,1008,0
47,243,2013,San Bernardino,36,8/8/2013,8/13/2013,0,34.35,-117.62,FALSE,Sheep canyon just south of Wrightwood,Sharp Fire,100,CA,7,Arson,0,28,15,23,10,1014,0
48,240,2013,Alameda,1,6/8/2013,6/8/2013,0,37.775057,-121.737213,FALSE,"off Vasco Road & North Vasco Road, north of Livermore",Vasco Fire,100,CA,14,Unidentified,0,36,15,29,9,1007,0
49,237,2013,Placer,31,6/13/2013,6/13/2013,0,38.729297,-121.380862,FALSE,"PFE Road and Watt Avenue, West Roseville",PFE Fire,100,CA,14,Unidentified,0,33,14,27,6,1016,0
50,217,2013,Glenn,11,5/1/2013,5/5/2013,0,39.514139,-122.560862,TRUE,2 miles south of the community of Elk Creek,306 Fire,100,CA,14,Unidentified,0,28,12,23,31,1017,0
51,200,2013,San Bernardino,36,9/24/2013,9/30/2013,0,34.2,-117.417,FALSE,in the Cajon Pass west of I-15 near Glen Helen Road,Sierra Fire,100,CA,14,Unidentified,0,31,13,25,5,1012,0
52,200,2013,Tehama,52,7/4/2013,7/4/2013,0,40.012398,-122.079871,FALSE,"Tehama-Vina Rd and Sherman Rd, Los Molinos",Vina Fire,100,CA,8,Playing with fire,0,41,25,36,12,1011,0
53,196,2013,Shasta,45,8/19/2013,8/23/2013,0,40.5445,-121.3754,TRUE,Fall River Mills and McAruther area,Burney Lightning Series (Warner Fire),100,CA,14,Unidentified,0,30,16,26,12,1014,0.8
54,195,2013,Tehama,52,7/19/2013,7/19/2013,0,39.961309,-122.330879,FALSE,West of Corning,Paskenta Fire,100,CA,14,Unidentified,0,40,18,34,5,1014,0
55,190,2013,Napa,28,11/21/2013,11/23/2013,0,38.382,-122.311,TRUE,Off Silverado Trail in the Soda Canyon area near Napa,Silverado Fire,100,CA,14,Unidentified,1,12,6,9,4,1013,1.8
56,170,2013,Santa Barbara,42,5/28/2013,5/29/2013,0,34.611824,-120.074655,FALSE,"Hwy 246 and Meadowvale, East of Solvang ",Olive Fire,100,CA,14,Unidentified,0,23,14,20,23,1015,0
57,163,2013,Yolo,57,11/4/2013,11/4/2013,0,38.67479,-122.08725,FALSE,"Off County Road 23 & County Road 81, Southwest of Esparto",Capay Fire,100,CA,14,Unidentified,0,19,8,15,20,1015,0
58,163,2013,El Dorado,"9,34",7/19/2013,7/19/2013,0,38.63987,-121.08438,FALSE,South of Hwy 50 at the El Dorado and Sacramento County line,50 Fire,100,CA,14,Unidentified,0,39,15,31,2,1014,0
59,159,2013,Sonoma,49,10/4/2013,10/5/2013,0,38.34599,-122.6503,FALSE,"near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park ",Crane Fire,100,CA,9,Miscellaneous,0,26,12,21,29,1017,0
60,158,2013,Sonoma,49,7/26/2013,7/26/2013,0,38.17693,-122.51253,FALSE,"Off Lakeville Hwy, 6 miles SE of Petaluma",Lakeville Fire,100,CA,14,Unidentified,0,23,12,19,8,1016,0
61,150,2013,Riverside,33,7/16/2013,7/17/2013,0,33.990128,-117.164997,FALSE,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",Redlands Fire,100,CA,14,Unidentified,0,33,12,27,8,1010,0
62,150,2013,Stanislaus,50,7/12/2013,7/13/2013,0,37.436,-121.1955,FALSE,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",Diablo Fire,100,CA,14,Unidentified,0,36,14,29,13,1013,0
63,150,2013,Fresno,10,6/25/2013,6/25/2013,0,36.7218,-119.2248,FALSE,off Bronco Lane in Squaw Valley,George Fire,100,CA,14,Unidentified,0,29,14,23,3,1013,0
64,149,2013,Los Angeles,19,5/28/2013,5/29/2013,0,34.419284,-118.58688,FALSE,off Magic Mtn Parkway in Valencia,Magic Fire,100,CA,14,Unidentified,0,26,14,21,16,1012,0
65,134,2013,Tulare,54,9/8/2013,9/24/2013,0,36.258,-118.459,FALSE,Golden Trout Wilderness,Angora Fire,100,CA,14,Unidentified,0,22,16,18,3,1012,0
66,125,2013,Sonoma,49,5/1/2013,5/3/2013,0,38.638828,-122.655616,TRUE,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",Yellow Fire,100,CA,14,Unidentified,0,30,11,24,27,1013,0
67,124,2013,Solano,48,6/18/2013,6/18/2013,0,38.08744,-122.13802,FALSE,"Off Lake Herman Rd, west of Hwy 680 in Benicia",California Fire,100,CA,14,Unidentified,0,23,11,19,13,1017,0
68,124,2013,Merced,24,6/4/2013,6/5/2013,0,37.03776,-121.006939,FALSE,Hwy 152 in San Luis Creek Reservoir,152 Fire,100,CA,14,Unidentified,0,33,15,28,15,1010,0
69,124,2013,Riverside,33,5/25/2013,5/25/2013,0,33.963591,-117.187934,FALSE,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",Smiley Fire,100,CA,9,Miscellaneous,0,21,10,17,4,1013,0
70,120,2013,Lake,17,11/8/2013,11/10/2013,0,38.882214,-122.567525,TRUE,"South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake",Cantwell Fire,100,CA,2,Equipment Use,1,21,8,15,9,1019,0
71,116,2013,El Dorado,9,8/16/2013,8/16/2013,0,38.682378,-120.839075,TRUE,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",Union Fire,100,CA,14,Unidentified,1,33,11,27,4,1015,0
72,110,2013,San Bernardino,36,8/17/2013,8/18/2013,0,34.287,-117.451,FALSE,I-15 Cajon Pass south of Cleghorn Road,Cleghorn Fire,100,CA,14,Unidentified,0,34,21,29,6,1012,0
73,108,2013,Fresno,10,6/13/2013,6/13/2013,0,36.772425,-119.628389,FALSE,"Clinton and Highland, East of Fresno",Clinton Fire,100,CA,14,Unidentified,0,32,14,27,5,1015,0
74,105,2013,Monterey,27,6/29/2013,6/29/2013,0,36.1531,-120.8973,FALSE,"off Hwy 198, 10 miles east of King City",Freeman Fire,100,CA,10,Vehicle,0,39,19,33,8,1013,0
75,100,2013,Tuolumne,55,6/2/2013,6/2/2013,0,37.91529,-120.33313,FALSE,off Lime Kiln Rd,Murphy Fire,100,CA,9,Miscellaneous,0,32,14,28,6,1008,0
76,100,2013,San Diego,37,5/22/2013,5/23/2013,0,32.564465,-116.900368,FALSE,Off Alta Rd in the Otay Mesa area,Border Fire,100,CA,10,Vehicle,0,20,14,18,4,1010,0
77,97,2013,Modoc,25,9/5/2013,9/24/2013,0,41.73325,-120.375,FALSE,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",Davis Creek Complex,100,CA,14,Unidentified,0,21,11,18,6,1014,0
78,97,2013,San Bernardino,36,8/24/2013,8/30/2013,0,33.642,-116.706,FALSE,near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,Little Fire,100,CA,14,Unidentified,0,31,20,28,5,1008,0
79,97,2013,Lassen,18,8/9/2013,8/12/2013,0,40.88886,-120.958126,FALSE,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",Coyote Fire,100,CA,14,Unidentified,0,24,6,19,6,1013,0.3
80,96,2013,Amador,3,6/12/2013,6/13/2013,0,38.27783,-120.966016,FALSE,"Roadrunner Drive, south of Ione",Roadrunner Fire,100,CA,14,Unidentified,0,32,13,26,4,1014,0
81,94,2013,San Luis Obispo,40,9/24/2013,9/24/2013,0,35.4393,-120.8358,FALSE,"off Toro Creek Rd, east of Cayucos",Creek Fire,100,CA,9,Miscellaneous,0,25,15,22,9,1014,0
82,91,2013,Madera,20,5/19/2013,5/20/2013,0,37.1927,-119.7917,TRUE,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,Lilly 2 Fire,100,CA,14,Unidentified,1,25,5,20,7,1018,0
83,85,2013,San Luis Obispo,40,7/7/2013,7/7/2013,0,35.62743,-120.83417,FALSE,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",Adelaida Fire,100,CA,14,Unidentified,0,29,12,24,7,1009,0
84,82,2013,Mendocino,23,11/22/2013,11/22/2013,0,39.0442,-123.1478,FALSE,"Off Hwy 101 at Henry Station Rd, north of Hopland",Retek Fire,100,CA,14,Unidentified,0,20,2,12,21,1018,0
85,80,2013,Butte,4,8/31/2013,9/1/2013,1,39.731878,-121.713938,TRUE,"Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia ",Centerville Fire,100,CA,9,Miscellaneous,0,33,16,28,9,1015,0
86,75,2013,San Bernardino,36,7/25/2013,7/26/2013,0,34.316,-117.352,FALSE, Hwy 138 west of Hwy 173,Silverwood Fire,100,CA,14,Unidentified,0,33,21,29,9,1012,0
87,75,2013,Madera,20,6/12/2013,6/14/2013,0,37.169379,-119.75636,TRUE,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,Revis Fire,100,CA,14,Unidentified,0,30,9,25,8,1014,0
88,75,2013,San Bernardino,36,5/13/2013,5/15/2013,1,34.1834,-117.4408,TRUE,"I-15 at Sierra Ave, near Lytle Creek",Lytle Fire,100,CA,14,Unidentified,1,36,23,33,4,1014,0
89,73,2013,San Bernardino,36,9/11/2013,9/12/2013,0,34.003151,-117.106075,FALSE,"Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. ",Liveoak Fire,100,CA,1,Lightning,0,29,15,24,5,1012,0
90,73,2013,Yuba,58,7/8/2013,7/8/2013,0,39.206,-121.31634,FALSE,"off Highway 20 and McGanney Lane, west of Smartsville",McGanney Fire,100,CA,2,Equipment Use,0,33,16,27,9,1012,0
91,70,2013,Lake,17,8/16/2013,8/18/2013,0,39.013682,-122.491894,TRUE,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",Double Fire,100,CA,14,Unidentified,0,32,15,27,10,1014,0
92,68,2013,Modoc,25,9/7/2013,9/5/2013,0,41.569,-120.959,FALSE,"Rail Mountain, 7 miles NW of Canby",Rail Fire,100,CA,14,Unidentified,0,27,11,22,9,1017,0
93,64,2013,Ventura,56,11/14/2013,11/15/2013,0,34.384,-119.13249,FALSE,"Wheeler Canyon, north of Santa Paula",Wheeler Fire,100,CA,14,Unidentified,0,21,11,15,20,1015,0
94,60,2013,Riverside,33,8/6/2013,8/8/2013,0,38.838,-116.61,FALSE,Off of Hwy 111 & Tramway Rd in Palm Springs,Tram Fire,100,CA,14,Unidentified,0,28,15,26,2,1012,0
95,60,2013,Riverside,33,8/4/2013,8/4/2013,0,33.91027,-116.99895,FALSE,"near Mt. David, south of Beaumont",Relay Fire,100,CA,9,Miscellaneous,0,28,16,24,6,1013,0
96,52,2013,Nevada,29,8/31/2013,8/31/2013,0,39.333401,-121.107022,FALSE,"North San Juan Area, Highway 49 and Tyler Foote Road",Tyler Fire,100,CA,14,Unidentified,0,31,11,25,9,1015,0
97,51,2013,San Luis Obispo,40,11/8/2013,11/9/2013,0,35.457978,-120.751555,TRUE,"Toro Creek Rd. and Hwy 41 West, Morro Bay",Toro Fire,100,CA,10,Vehicle,0,25,12,19,8,1017,0
98,50,2013,Lake,17,11/23/2013,11/24/2013,0,39.0448,-122.7656,FALSE,"Off Bruner Drive & Al Drive, Clearlake Oaks",Bruner Fire,100,CA,14,Unidentified,0,17,2,10,19,1017,0
99,50,2013,Siskiyou,47,8/15/2013,8/15/2013,0,41.923323,-122.578393,FALSE,"Cottonwood Creek Rd., 2 miles north of Hornbrook",Cottonwood Fire,100,CA,2,Equipment Use,0,31,10,26,2,1016,0
100,50,2013,Santa Clara,43,7/12/2013,7/12/2013,0,37.1438,-121.7804,FALSE,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",Uvas Fire,100,CA,4,Campfire,0,22,13,19,8,1013,0
101,50,2013,Alameda,1,7/4/2013,7/4/2013,0,37.7393,-121.5869,FALSE,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",Grant Fire,100,CA,8,Playing with fire,0,40,19,34,14,1009,0
102,50,2013,San Luis Obispo,40,5/25/2013,5/25/2013,0,35.5123,-120.6368,FALSE,"Homestead Rd & Hwy 41, northeast of Atascadero ",Homestead Fire,100,CA,9,Miscellaneous,0,23,8,19,4,1015,0
103,46,2013,Calaveras,5,8/17/2013,8/19/2013,2,38.06231,-120.45233,TRUE,"Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake ",Bridges Fire,100,CA,14,Unidentified,0,33,18,28,5,1015,0
104,45,2013,Mendocino,23,7/23/2013,7/23/2013,0,38.980846,-123.067671,FALSE,"Hwy 175 & Pratt Ranch Road, East of Hopland ",Pratt Fire,100,CA,14,Unidentified,0,31,12,24,4,1014,0
105,43,2013,Shasta,45,7/9/2013,7/9/2013,0,40.373,-122.7338,FALSE,off Fiddler,Fiddler Fire,100,CA,2,Equipment Use,0,34,14,30,8,1015,0
106,42,2013,Riverside,33,6/8/2013,6/8/2013,0,33.96936,-117.1265,FALSE,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",Viper Fire,100,CA,14,Unidentified,0,34,15,28,4,1007,0
107,41,2013,San Mateo,41,9/7/2013,9/7/2013,0,37.667295,-122.427285,FALSE,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",Chestnut Fire,100,CA,14,Unidentified,0,28,21,25,3,1010,0
108,40,2013,Orange,30,10/6/2013,10/9/2013,0,33.7655,-117.6649,FALSE,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",Baker Fire,100,CA,14,Unidentified,0,31,17,25,9,1020,0
109,40,2013,Riverside,33,8/16/2013,8/16/2013,0,33.570291,-116.10815,FALSE,Ave 66 and Pierce Street  ,Pierce Fire,100,CA,14,Unidentified,0,38,24,35,14,1010,0
110,40,2013,Riverside,33,7/19/2013,7/20/2013,0,33.9634,-117.2508,FALSE,Heacock St & Sandy Glade Ave in Moreno Valley,Heacock Fire,100,CA,14,Unidentified,0,32,18,27,6,1011,0
111,40,2013,Riverside,33,6/14/2013,6/15/2013,0,34.001745,-117.302057,FALSE,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",Palmyrita Fire,100,CA,14,Unidentified,0,31,13,26,6,1012,0
112,40,2013,Riverside,33,5/16/2013,5/17/2013,0,33.655638,-116.161201,TRUE,"Avenue 54 and Tyler Street, near the community of Coachella",54 Fire,100,CA,14,Unidentified,0,31,11,27,20,1010,0
113,38,2013,El Dorado,9,8/24/2013,8/24/2013,0,38.89555,-120.84716,FALSE,off Hwy 193 & Empire Creek Cir near Georgetown,Empire Fire,100,CA,14,Unidentified,0,27,10,22,6,1010,0
114,38,2013,Lake,17,8/7/2013,8/7/2013,0,39.1591,-122.5906,FALSE,"Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks",Indian Fire,100,CA,14,Unidentified,0,25,9,20,6,1016,0
115,38,2013,Alameda,1,7/6/2013,7/6/2013,0,37.74241,-121.86216,FALSE,off Fallon Rd & Camino Tassajara near Dublin ,Fallon Fire,100,CA,14,Unidentified,0,27,12,22,11,1008,0
116,35,2013,Fresno,10,6/13/2013,6/13/2013,0,36.763367,-119.558244,FALSE,"off McKinley Ave & Academy Ave, north of Sanger ",Michelle Fire,100,CA,14,Unidentified,0,30,16,26,5,1015,0
117,35,2013,San Luis Obispo,40,5/20/2013,5/20/2013,0,35.49864,-120.91375,FALSE,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,Cottontail Fire,100,CA,14,Unidentified,0,27,15,23,10,1014,0
118,33,2013,Shasta,45,11/7/2013,11/7/2013,0,40.483662,-122.140914,FALSE,"Off Dersch Rd and Hyrax, Millville",Dersch Fire,100,CA,14,Unidentified,0,20,8,15,5,1022,0
119,31,2013,Calaveras,5,7/22/2013,7/23/2013,0,37.965364,-120.696362,FALSE,"near the 4500 block of Chuckwagon Drive, Copperopolis",Chuckwagon Fire,100,CA,14,Unidentified,0,35,17,29,7,1012,0
120,30,2013,Lake,17,9/15/2013,9/15/2013,0,38.9777,-122.683,TRUE,near the community of Clearlake,Lakeshore Fire,100,CA,14,Unidentified,0,26,11,20,11,1008,0
121,30,2013,San Bernardino,36,4/20/2013,4/22/2013,0,34.288877,-116.941311,FALSE,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",Fawnskin Fire,100,CA,14,Unidentified,0,24,11,21,12,1014,0
122,28,2013,Sonoma,"49,48,17,6",6/10/2013,6/14/2013,0,38.4229,-122.0437,TRUE,"throughout Sonoma, Solano, Lake & Colusa Counties",Sonoma-Lake-Napa Unit Lightning Fires,100,CA,14,Unidentified,0,22,13,19,12,1010,0
123,27,2013,Shasta,45,8/14/2013,8/14/2013,0,40.473356,-122.48259,FALSE,"Cloverdale Rd. and Dale Rd., Happy Valley, 9 miles SW of Redding",Cloverdale Fire,100,CA,14,Unidentified,0,34,13,29,3,1016,0
124,25,2013,San Diego,37,7/28/2013,7/28/2013,0,32.612773,-116.707335,FALSE,Barrett Lake Road and Highway 94,Flume Fire,100,CA,14,Unidentified,0,27,17,22,6,1011,0
125,25,2013,Lake,17,6/20/2013,6/20/2013,0,38.98058,-122.81796,FALSE,"Off Konocti Rd & Oak Hills Ln, east of Kelseyville",Mount Fire,100,CA,14,Unidentified,0,25,7,21,14,1017,0
126,25,2013,Riverside,33,5/20/2013,5/20/2013,0,33.96201,-116.907213,FALSE,Off Sunset Ave & Mesa St in Banning,Cherry Fire,100,CA,14,Unidentified,0,26,16,23,4,1012,0
